Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
1992,AGO,12632.507,10.3701,0.5869466666666666,0.111578095000252,,1409.5110661373483,,182.08994985467322,-59.230302797592,128.8677749327372,879.7396858443275,2663.7471885045957
1993,AGO,13038.27,11.018296666666666,0.6442966666666666,0.120329106929221,,1568.8833850020544,,191.1508325696309,-56.68193953903036,151.23022732885352,956.580159577892,2976.2419313765677
1994,AGO,13462.031,11.845186666666669,0.70208,0.230172840250052,,3098.593910804248,,200.61361927066866,-53.43104948785445,173.76164914150547,1921.0908440045796,5975.674334910272
1995,AGO,13912.253,12.12193,0.7209333333333333,0.247509082020289,,3443.408968864012,,210.66729281333681,-52.34304243847354,181.11311852554692,2073.3160999175343,6651.782291890198
1996,AGO,14383.35,12.289946666666664,0.7448033333333334,0.289350753864624,,4161.8331655987395,,221.18711513417048,-51.68249059953681,190.42073384717375,2440.7174830284184,8060.457187448485
1997,AGO,14871.146,12.719096666666667,0.76816,0.291518953675364,,4335.220921873575,,232.07983414705603,-49.9953018979415,199.52818539844296,2459.755909893632,8400.433180144239
1998,AGO,15366.864,12.812093333333332,0.79468,0.293287126881492,,4506.903391738631,,243.14945522560038,-49.62968865015863,209.86911369042213,2475.2818019738497,8737.065473997289
1999,AGO,15870.753,14.128353333333331,0.8317133333333334,0.296838306741674,,4711.047447235343,,254.40153865942085,-44.45485700536817,224.30949998050363,2506.4638349757897,9137.347935755546
2000,AGO,16394.062,16.20032,0.8722133333333334,0.266284033289799,,4365.476951363029,,266.0872800224377,-36.30899017539712,240.10164160286996,2238.174308497729,8459.758728162777
2001,AGO,16941.587,19.335643333333334,0.9238899999999998,0.256282306250759,,4341.828987907877,,278.31377629860674,-23.982572596815967,260.2518944071123,2150.3516143828338,8413.39017236836
2002,AGO,17516.139,22.071426666666667,0.93587,0.250548750093468,,4388.646732913448,,291.14379846830764,-13.226933006899335,264.92324889195066,2100.0066742913004,8505.189672379285
2003,AGO,18124.342,24.45716,0.9626533333333334,0.263289605109861,,4771.950848056068,,304.7252636336515,-3.847503145500565,275.36685859859375,2211.8809744495966,9256.766368737359
2004,AGO,18771.125,25.573543333333333,0.98958,0.247402294138271,,4644.019388556252,,319.16823873248615,0.5415201485674745,285.86635818916784,2072.3784219084228,9005.920369718113
2005,AGO,19450.959,26.54216666666667,0.9982633333333334,0.215899855079085,,4199.459229249223,,334.34925853872903,4.349630003167455,289.2522453435929,1795.7632874852432,8134.233782841589
2006,AGO,20162.34,26.74915,1.045483333333333,0.232079625831508,,4679.268323087647,,350.2347380098718,5.163377973384226,307.66471268700366,1937.8338571071424,9075.03592762281
2007,AGO,20909.684,31.04586,1.0452633333333334,0.22956833154196,,4800.201268949617,,366.9232885473218,22.05574792801904,307.5789282139934,1915.7828023880343,9312.159350881573
2008,AGO,21691.522,34.302953333333335,1.0719133333333333,0.235917090314145,,5117.400754725264,,384.3821066753845,34.86090014062854,317.9705473309332,1971.5296846497174,9934.119126912252
2009,AGO,22507.674,36.357326666666665,1.1099433333333335,0.250622082974411,,5640.920140788993,,402.6071729075893,42.93759937599767,332.79956327904665,2100.650592201326,10960.627727037208
2010,AGO,23364.185,37.402323333333335,1.17061,0.268476746914133,,6272.740383099982,,421.7334749979009,47.045968405951655,356.4552815940316,2257.427985103757,12199.490947254828
2011,AGO,24259.111,36.14144,1.2326566666666663,0.263226980739991,,6385.652543966305,,441.71760249243886,42.0888482520898,380.6491025124452,2211.331085329671,12420.887341110363
2012,AGO,25188.292,35.24976,1.23076,0.281081237705247,,7079.956291041172,,462.466660592776,38.583238508553755,379.90953637391647,2368.104904689863,13782.267237335589
2013,AGO,26147.002,34.664433333333335,1.2755166666666666,0.268361578377481,,7016.8507265591525,,483.8751154485836,36.282046527329385,397.36147757255947,2256.4167186368186,13658.530836390455
2014,AGO,27128.337,33.63720333333333,1.2618833333333332,0.249176729773545,,6759.750297854662,,505.78879742324114,32.2435265461113,392.0454397754007,2087.959302831783,13154.41234873459
2015,AGO,28127.721,34.20947666666667,1.2657066666666668,0.252574863478058,,7104.355291523906,,528.1055222384788,34.493399789089935,393.5362699351419,2117.7974753521967,13830.108414752714
