Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1994,ABW,2.40931602195155,
1995,ABW,2.50486696950032,
1996,ABW,2.49316896886057,
1997,ABW,2.5287693322583,
1998,ABW,2.60802560606959,
1999,ABW,2.54411917068622,
2000,ABW,7.28386886791394,
2001,ABW,7.2443792658588,
2002,ABW,7.2455083296107,
2003,ABW,7.54037173277527,
2004,ABW,7.63309813983323,
2005,ABW,7.85326460844808,
2006,ABW,7.75055958831036,
2007,ABW,7.95561387376404,
2008,ABW,7.39826115351647,
2009,ABW,7.22694835302181,
2010,ABW,6.81675486590726,
2011,ABW,6.73327541268462,
2012,ABW,3.60388592917581,
2013,ABW,2.28421461897356,
2014,ABW,2.29743035310925,
2015,ABW,2.34996211285573,
2016,ABW,2.29799569006617,
2017,ABW,2.30465008203796,
2018,ABW,2.24608822030539,
2019,ABW,2.28293342853385,
2020,ABW,2.27987052587137,
2021,ABW,2.21885980821081,
2022,ABW,2.24171015429683,
1950,AUS,1.86034880134902,
1951,AUS,1.98124163733517,
1952,AUS,1.97425052864612,
1953,AUS,1.95076434950478,
1954,AUS,2.05959359910806,
1955,AUS,2.132716058373,
1956,AUS,2.18467739100532,
1957,AUS,2.13602589570821,
1958,AUS,2.15878539900478,
1959,AUS,2.25244855684194,
1960,AUS,2.32007515855808,
1961,AUS,2.26035406543308,
1962,AUS,2.31622827210227,
1963,AUS,2.39981948874189,
1964,AUS,2.53871926351564,
1965,AUS,2.72950926588468,
